Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
364.077670	6.256500	5.200392	0.364078	1.203082	
365.048544	6.268085	5.167944	0.365049	1.212878	
366.019417	6.279670	5.124679	0.366019	1.225378	
366.990291	6.314426	5.092231	0.366990	1.240012	
367.961165	6.349182	5.081415	0.367961	1.249491	
368.932039	6.383937	5.048966	0.368932	1.264405	
369.902913	6.407108	5.081415	0.369903	1.260891	
370.873786	6.430278	5.081415	0.370874	1.265450	
371.844660	6.453449	5.113863	0.371845	1.261952	
372.815534	6.476619	5.146311	0.372816	1.258497	
373.786408	6.499790	5.211208	0.373786	1.247271	
374.757282	6.534546	5.232840	0.374757	1.248757	
375.728155	6.546131	5.276105	0.375728	1.240713	
376.699029	6.557716	5.276105	0.376699	1.242909	
377.669903	6.569301	5.286921	0.377670	1.242557	
378.640777	6.615642	5.308553	0.378641	1.246223	
379.611650	6.650398	5.265289	0.379612	1.263064	
380.582524	6.685154	5.254473	0.380583	1.272279	
381.553398	6.708324	5.232840	0.381553	1.281966	
382.524272	6.766251	5.189576	0.382524	1.303816	
383.495146	6.812592	5.178760	0.383495	1.315487	
384.466019	6.847348	5.146311	0.384466	1.330535	
385.436893	6.893689	5.157127	0.385437	1.336730	
386.407767	6.916859	5.167944	0.386408	1.338416	
387.378641	6.928444	5.167944	0.387379	1.340658	
388.349515	6.940030	5.200392	0.388350	1.334520	
389.320388	6.963200	5.200392	0.389320	1.338976	
390.291262	6.986371	5.243656	0.390291	1.332347	
391.262136	6.974785	5.276105	0.391262	1.321957	
392.233010	6.974785	5.265289	0.392233	1.324673	
393.203883	6.986371	5.265289	0.393204	1.326873	
