Etude: Indentation_Silicone_Rouge_talc_1_1	27/11/2012 18:59:38

Conditions de l'essai:
Type d'indenteur:Sphère	Rayon (mm) :1.590000	Angle (°) :1.590000
Contact:
Seuil de détection (mN): 0.020000	Distance de retrait (µm): 100.000000
Type de test: Deplacement imposé 
Enfoncement (µm): 100.000000
Vitesse de rampe (µm/s): 25.000000	Temps de relaxation (s): 0.000000

Déplacement en Z corrigé (µm):	Effort normal (mN):	Temps (s):	Déflection du capteur (µm):	Déplacement de la table (µm):
0.283800	-0.001502	0.783000
0.235147	-0.001502	0.784000
0.283800	-0.001502	0.785000
0.280319	0.003644	0.786000
0.381107	-0.001502	0.787000
0.332453	-0.001502	0.788000
0.283800	-0.001502	0.789000
0.332453	-0.001502	0.790000
0.378786	0.001929	0.791000
0.283800	-0.001502	0.792000
0.283800	-0.001502	0.793000
0.327811	0.005359	0.794000
0.281479	0.001929	0.795000
0.332453	-0.001502	0.796000
0.283800	-0.001502	0.797000
0.283800	-0.001502	0.798000
0.328972	0.003644	0.799000
0.279158	0.005359	0.800000
0.327811	0.005359	0.801000
0.276837	0.008789	0.802000
0.279158	0.005359	0.803000
0.280319	0.003644	0.804000
0.281479	0.001929	0.805000
0.328972	0.003644	0.806000
0.283800	-0.001502	0.807000
0.328972	0.003644	0.808000
0.327811	0.005359	0.809000
0.279158	0.005359	0.810000
0.330132	0.001929	0.811000
0.279158	0.005359	0.812000
0.330132	0.001929	0.813000
0.328972	0.003644	0.814000
