Déplacement en Z corrigé (µm)	Effort normal (mN)
23,064565	-0,005624
23,102197	-0,016441
23,143127	-0,016441
23,170863	-0,027257
23,208763	-0,016441
23,243096	-0,016441
23,294461	-0,027257
23,332361	-0,005624
23,383995	0,005192
23,432061	0,005192
23,49386	0,005192
23,548793	0,016008
23,597128	0,026824
23,662226	0,005192
23,727593	0,026824
23,799557	0,026824
23,857789	0,005192
23,926455	0,005192
23,991553	0,005192
24,049784	0,005192
24,108285	-0,016441
24,176682	-0,027257
24,228315	-0,016441
24,27968	-0,016441
24,328015	-0,038073
24,37938	-0,016441
24,424147	-0,016441
24,465615	-0,027257
24,513413	-0,027257
24,548014	-0,005624
24,592513	0,005192
24,627114	-0,016441
24,668314	0,005192
24,719679	0,016008
24,757579	0,016008
24,805645	0,016008
24,853711	0,016008
24,908375	-0,005624
24,966607	-0,005624
25,024838	0,016008
25,073173	-0,016441
25,131405	-0,027257
25,186337	-0,005624
25,251435	-0,027257
25,303069	-0,016441
25,358002	-0,027257
25,416233	-0,016441
25,471435	-0,027257
25,516202	-0,016441
25,571134	-0,016441
25,612334	-0,005624
25,657101	-0,016441
25,701868	-0,005624
25,742799	0,005192
25,777401	0,005192
25,8186	-0,005624
25,859531	0,03764
25,90073	0,016008
25,948796	0,005192
25,989996	0,005192
26,037793	-0,027257
26,089158	-0,027257
26,133925	-0,027257
26,188858	-0,027257
26,250388	-0,048889
26,298723	-0,027257
26,360522	-0,027257
26,418754	-0,038073
26,473686	-0,005624
26,522021	0,016008
26,580521	0,005192
26,642052	-0,016441
26,68352	0,016008
26,735154	-0,005624
26,790086	0,005192
26,838152	0,016008
26,886218	-0,005624
26,940882	-0,027257
26,988948	-0,005624
27,030417	0,005192
27,081513	-0,027257
27,132878	-0,016441
27,167479	-0,027257
27,222143	-0,038073
27,260044	-0,027257
27,304542	-0,027257
27,349309	-0,027257
27,400674	-0,027257
27,445441	-0,027257
27,493507	-0,005624
27,545141	-0,005624
27,596506	0,016008
27,64814	0,016008
27,699773	0,016008
27,747839	0,005192
27,806071	0,016008
27,847808	0,026824
27,909338	0,005192
27,96757	0,016008
28,022503	-0,016441
28,080465	-0,005624
28,135398	-0,016441
28,190331	-0,016441
28,238397	-0,016441
28,293061	-0,027257
28,334529	-0,016441
28,375728	-0,016441
28,427093	-0,016441
28,451529	-0,005624
28,486131	-0,016441
28,530629	0,005192
28,578427	-0,005624
28,602863	0,016008
28,643793	0,016008
28,681694	0,016008
28,719595	0,005192
28,774258	-0,005624
28,822056	-0,005624
28,870391	-0,005624
28,915158	-0,005624
28,979987	-0,016441
29,031621	-0,005624
29,096719	-0,016441
29,15495	-0,016441
29,220317	-0,016441
29,282116	-0,016441
29,343916	-0,027257
29,405715	-0,016441
29,474381	-0,005624
29,522715	0,005192
29,577648	0,016008
29,632849	0,005192
29,680915	0,005192
29,735848	0,016008
29,787213	0,016008
29,83198	0,016008
29,869881	0,005192
29,924545	0,005192
29,962445	0,005192
30,013541	0,016008
30,058308	-0,016441
30,109673	-0,027257
30,157739	-0,005624
30,205805	-0,005624
30,250304	-0,027257
30,295071	-0,016441
30,343137	-0,027257
30,391203	-0,038073
30,43597	-0,016441
30,487335	-0,005624
30,53567	-0,005624
30,593901	0,005192
30,642236	0,005192
30,704035	0,016008
30,765835	-0,005624
30,824066	0,005192
30,882298	0,016008
30,944097	-0,016441
31,005896	-0,038073
31,067695	-0,016441
31,125927	-0,005624
31,184427	-0,027257
31,242659	-0,016441
31,297591	-0,027257
31,345657	-0,016441
31,407457	-0,048889
31,458821	-0,027257
31,503589	-0,027257
31,541489	-0,027257
31,57939	-0,016441
31,631023	-0,005624
31,682388	-0,027257
31,723588	0,005192
31,761488	-0,005624
31,809554	0,005192
31,85762	-0,005624
31,908985	0,016008
31,957051	-0,005624
32,005118	-0,005624
32,063618	-0,016441
32,128447	0,005192
32,179812	-0,016441
32,22128	-0,005624
32,276213	-0,016441
32,330877	0,005192
32,382511	-0,016441
32,433875	-0,016441
32,48524	-0,005624
32,526709	-0,016441
32,564609	0,026824
32,612675	-0,005624
32,657442	-0,005624
32,698642	-0,005624
32,743409	0,016008
32,78434	0,005192
32,82224	0,026824
32,860141	0,016008
32,918104	0,016008
32,972767	0,005192
33,014236	-0,005624
33,052136	-0,027257
33,1068	-0,005624
33,1653	-0,016441
33,223532	-0,027257
33,275166	-0,027257
33,339995	-0,005624
33,395196	-0,005624
33,450129	-0,016441
33,505062	-0,016441
33,556695	-0,005624
33,615196	0,03764
33,676726	0,026824
33,714895	0,016008
33,773127	0,005192
33,824761	0,016008
33,876126	0,026824
33,917594	0,016008
33,965391	0,026824
34,013457	0,016008
34,064822	0,005192
34,099424	-0,005624
34,140354	0,005192
34,171388	-0,016441
34,215887	0,005192
34,257355	0,016008
34,305152	-0,016441
34,346352	-0,027257
34,384252	-0,005624
34,428751	0,016008
34,463621	-0,005624
34,52845	0,005192
34,576516	0,016008
34,624582	0,005192
34,672917	0,026824
34,738015	0,016008
